date, pm25, pm10, o3
2020/11/28, 37, , 
2020/11/29, 35, , 
2020/11/30, 37, , 
2020/12/1, 20, , 
2020/12/2, 28, , 
2020/12/3, 53, , 
2020/12/4, 56, , 
2020/12/5, 52, , 
2020/12/6, 52, , 
2020/12/7, 38, , 
2020/12/8, 40, , 
2020/12/9, 20, , 
2020/12/10, 25, , 
2020/12/11, 34, , 
2020/12/12, 32, , 
2020/12/13, 41, , 
2020/12/14, 34, , 
2020/12/15, 29, , 
2020/12/16, 20, , 
2020/12/17, 15, , 
2020/12/18, 20, , 
2020/12/19, 20, , 
2020/12/20, 17, , 
2020/12/21, 27, , 
2020/12/22, 13, , 
2020/12/23, 18, , 
2020/12/24, 34, , 
2020/12/25, 52, , 
2020/12/26, 53, , 
2020/12/27, 38, , 
2020/12/28, 44, , 
2020/12/29, 27, , 
2020/12/30, 46, , 
2020/12/31, 37, , 
2021/1/1, 39, , 
2021/1/2, 33, , 
2021/1/3, 16, , 
2020/7/1, 10, , 
2020/7/2, 25, , 
2020/7/3, 42, , 
2020/7/4, 32, , 
2020/7/5, 35, , 
2020/7/6, 21, , 
2020/7/7, 11, , 
2020/7/8, 15, , 
2020/7/9, 15, , 
2020/7/10, 18, , 
2020/7/11, 22, , 
2020/7/12, 14, , 
2020/7/13, 17, , 
2020/7/14, 18, , 
2020/7/15, 19, , 
2020/7/16, 16, , 
2020/7/17, 13, , 
2020/7/18, 16, , 
2020/7/23, 11, , 
2020/7/24, 13, , 
2020/7/25, 15, , 
2020/7/26, 16, , 
2020/7/27, 19, , 
2020/7/28, 22, , 
2020/7/29, 20, , 
2020/7/30, 29, , 
2020/7/31, 24, , 
2020/8/1, 15, , 
2020/8/2, 15, , 
2020/8/3, 19, , 
2020/8/4, 25, , 
2020/8/5, 26, , 
2020/8/6, 13, , 
2020/8/7, 15, , 
2020/8/8, 14, , 
2020/8/9, 14, , 
2020/8/10, 15, , 
2020/8/11, 22, , 
2020/8/12, 53, , 
2020/8/13, 61, , 
2020/8/14, 29, , 
2020/8/15, 21, , 
2020/8/16, 23, , 
2020/8/17, 34, , 
2020/8/18, 23, , 
2020/8/19, 21, , 
2020/8/20, 15, , 
2020/8/21, 13, , 
2020/8/22, 12, , 
2020/8/23, 22, , 
2020/8/24, 19, , 
2020/8/25, 16, , 
2020/8/26, 17, , 
2020/8/27, 16, , 
2020/8/28, 40, , 
2020/8/29, 14, , 
2020/8/30, 15, , 
2020/8/31, 11, , 
2020/9/1, 13, , 
2020/9/2, 13, , 
2020/9/3, 29, , 
2020/9/4, 56, , 
2020/9/5, 33, , 
2020/9/6, 27, , 
2020/9/7, 60, , 
2020/9/8, 22, , 
2020/9/9, 55, , 
2020/9/10, 60, , 
2020/9/11, 388, , 
2020/9/12, 410, , 
2020/9/13, 412, , 
2020/9/14, 281, , 
2020/9/16, 31, , 
2020/9/17, 42, , 
2020/9/18, 55, , 
2020/9/19, 17, , 
2020/9/20, 25, , 
2020/9/21, 48, , 
2020/9/22, 20, , 
2020/9/23, 28, , 
2020/9/24, 14, , 
2020/9/25, 14, , 
2020/9/26, 11, , 
2020/9/27, 13, , 
2020/9/28, 13, , 
2020/9/29, 18, , 
2020/9/30, 20, , 
2020/4/1, 12, , 
2020/4/2, 14, , 
2020/4/3, 12, , 
2020/4/4, 14, , 
2020/4/5, 16, , 
2020/4/6, 17, , 
2020/4/7, 23, , 
2020/4/8, 31, , 
2020/4/9, 30, , 
2020/4/10, 21, , 
2020/4/11, 16, , 
2020/4/12, 16, , 
2020/4/13, 17, , 
2020/4/14, 17, , 
2020/4/15, 11, , 
2020/4/16, 13, , 
2020/4/17, 16, , 
2020/4/18, 14, , 
2020/4/19, 13, , 
2020/4/20, 15, , 
2020/4/21, 14, , 
2020/4/22, 16, , 
2020/4/23, 11, , 
2020/4/24, 16, , 
2020/4/25, 18, , 
2020/4/26, 16, , 
